event_id;simID;index;Zone Air CO2 Concentration;Zone Mean Air Temperature;Zone Air Relative Humidity;Occupancy;Ventilation;BinaryOccupancy;Datetime;maxOccupants;_volume;presence_shift;event_start;presence_analysis;start_time;end_time;start_co2;end_co2;measurement_decay_constant
0;54;79;502.2;18.0;32.71;0.0;0.0;0;11/04  01:20:00;1.0;63.07;0;0;Ignore;;;;;
0;54;80;502.16;18.0;32.75;0.0;0.0;0;11/04  01:21:00;1.0;63.07;0;0;Ignore;;;;;
0;54;81;502.12;18.0;32.78;0.0;0.0;0;11/04  01:22:00;1.0;63.07;0;0;Ignore;;;;;
0;54;82;502.08;18.0;32.82;0.0;0.0;0;11/04  01:23:00;1.0;63.07;0;0;Ignore;;;;;
0;54;83;502.04;18.0;32.86;0.0;0.0;0;11/04  01:24:00;1.0;63.07;0;0;Ignore;;;;;
0;54;84;502.0;18.0;32.89;0.0;0.0;0;11/04  01:25:00;1.0;63.07;0;0;Ignore;;;;;
0;54;85;501.96;18.0;32.93;0.0;0.0;0;11/04  01:26:00;1.0;63.07;0;0;Ignore;;;;;
0;54;86;501.92;18.0;32.97;0.0;0.0;0;11/04  01:27:00;1.0;63.07;0;0;Ignore;;;;;
0;54;87;501.88;18.0;33.0;0.0;0.0;0;11/04  01:28:00;1.0;63.07;0;0;Ignore;;;;;
0;54;88;501.85;18.0;33.04;0.0;0.0;0;11/04  01:29:00;1.0;63.07;0;0;Ignore;;;;;
0;54;89;501.81;18.0;33.07;0.0;0.0;0;11/04  01:30:00;1.0;63.07;0;0;Ignore;;;;;
0;54;90;501.77;18.0;33.11;0.0;0.0;0;11/04  01:31:00;1.0;63.07;0;0;Ignore;;;;;
0;54;91;501.74;18.0;33.14;0.0;0.0;0;11/04  01:32:00;1.0;63.07;0;0;Ignore;;;;;
0;54;92;501.7;18.0;33.17;0.0;0.0;0;11/04  01:33:00;1.0;63.07;0;0;Ignore;;;;;
0;54;93;501.67;18.0;33.21;0.0;0.0;0;11/04  01:34:00;1.0;63.07;0;0;Ignore;;;;;
0;54;94;501.63;18.0;33.24;0.0;0.0;0;11/04  01:35:00;1.0;63.07;0;0;Ignore;;;;;
0;54;95;501.6;18.0;33.27;0.0;0.0;0;11/04  01:36:00;1.0;63.07;0;0;Ignore;;;;;
0;54;96;501.56;18.0;33.31;0.0;0.0;0;11/04  01:37:00;1.0;63.07;0;0;Ignore;;;;;
0;54;97;501.53;18.0;33.34;0.0;0.0;0;11/04  01:38:00;1.0;63.07;0;0;Ignore;;;;;
0;54;98;501.49;18.0;33.37;0.0;0.0;0;11/04  01:39:00;1.0;63.07;0;0;Ignore;;;;;
0;54;99;501.46;18.0;33.4;0.0;0.0;0;11/04  01:40:00;1.0;63.07;0;0;Ignore;;;;;
0;54;100;501.43;18.0;33.43;0.0;0.0;0;11/04  01:41:00;1.0;63.07;0;0;Ignore;;;;;
0;54;101;501.39;18.0;33.46;0.0;0.0;0;11/04  01:42:00;1.0;63.07;0;0;Ignore;;;;;
0;54;102;501.36;18.0;33.5;0.0;0.0;0;11/04  01:43:00;1.0;63.07;0;0;Ignore;;;;;
0;54;103;501.33;18.0;33.53;0.0;0.0;0;11/04  01:44:00;1.0;63.07;0;0;Ignore;;;;;
0;54;104;501.3;18.0;33.56;0.0;0.0;0;11/04  01:45:00;1.0;63.07;0;0;Ignore;;;;;
0;54;105;501.26;18.0;33.59;0.0;0.0;0;11/04  01:46:00;1.0;63.07;0;0;Ignore;;;;;
0;54;106;501.23;18.0;33.62;0.0;0.0;0;11/04  01:47:00;1.0;63.07;0;0;Ignore;;;;;
0;54;107;501.2;18.0;33.64;0.0;0.0;0;11/04  01:48:00;1.0;63.07;0;0;Ignore;;;;;
0;54;108;501.17;18.0;33.67;0.0;0.0;0;11/04  01:49:00;1.0;63.07;0;0;Ignore;;;;;
0;54;109;501.14;18.0;33.7;0.0;0.0;0;11/04  01:50:00;1.0;63.07;0;0;Ignore;;;;;
