temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
22.5,41.71,0.25,65.0,5682.846050000014,"[2.25000000e+01 4.17100000e+01 2.50000000e-01 6.50000000e+01
 5.68284605e+03]",[-2.27180594 -0.79249967  0.          0.         -0.06265878],2
22.5,41.93,0.25,65.0,0.40499999999997954,[22.5   41.93   0.25  65.     0.405],[-2.27180594 -0.7353876   0.          0.         -0.35504711],2
22.5,42.04,0.25,65.0,1.7484500000004337,[22.5     42.04     0.25    65.       1.74845],[-2.27180594 -0.70683157  0.          0.         -0.35497798],2
22.5,42.05,0.25,65.0,47.9572916666672,[22.5        42.05        0.25       65.         47.95729167],[-2.27180594 -0.70423557  0.          0.         -0.35260032],2
22.5,42.06,0.25,65.0,123.40205000000057,[ 22.5      42.06      0.25     65.      123.40205],[-2.27180594 -0.70163957  0.          0.         -0.34871833],2
22.5,42.09,0.25,65.0,23347.444050000006,"[2.25000000e+01 4.20900000e+01 2.50000000e-01 6.50000000e+01
 2.33474441e+04]",[-2.27180594 -0.69385156  0.          0.          0.84626792],2
22.5,49.7,0.25,65.0,0.005000000000025011,[2.25e+01 4.97e+01 2.50e-01 6.50e+01 5.00e-03],[-2.27180594  1.28170664  0.          0.         -0.35506769],0
22.52,41.85,0.25,65.0,3253.8244499999782,"[2.25200000e+01 4.18500000e+01 2.50000000e-01 6.50000000e+01
 3.25382445e+03]",[-2.22837764 -0.75615563  0.          0.         -0.18764337],2
22.52,42.03,0.25,65.0,33.29279999999974,[22.52   42.03    0.25   65.     33.2928],[-2.22837764 -0.70942757  0.          0.         -0.35335488],2
22.52,42.09,0.25,65.0,278.0914666666674,"[2.25200000e+01 4.20900000e+01 2.50000000e-01 6.50000000e+01
 2.78091467e+02]",[-2.22837764 -0.69385156  0.          0.         -0.34075883],2
22.52,49.13,0.25,65.0,0.16244999999999613,[22.52    49.13     0.25    65.       0.16245],[-2.22837764  1.13373448  0.          0.         -0.35505959],0
22.53,41.91,0.25,65.0,98.70125000000256,[22.53    41.91     0.25    65.      98.70125],[-2.20666349 -0.74057961  0.          0.         -0.3499893 ],2
22.53,42.08,0.25,65.0,1.3777999999997583,[22.53   42.08    0.25   65.      1.3778],[-2.20666349 -0.69644756  0.          0.         -0.35499705],2
22.53,42.26,0.25,65.0,0.007200000000000545,[2.253e+01 4.226e+01 2.500e-01 6.500e+01 7.200e-03],[-2.20666349 -0.64971951  0.          0.         -0.35506758],2
22.55,41.8,0.25,65.0,22516.542050000007,"[2.25500000e+01 4.18000000e+01 2.50000000e-01 6.50000000e+01
 2.25165421e+04]",[-2.1632352  -0.76913564  0.          0.          0.8035141 ],2
22.55,42.08,0.25,65.0,192.47219999999786,[ 22.55    42.08     0.25    65.     192.4722],[-2.1632352  -0.69644756  0.          0.         -0.34516435],2
22.56,41.86,0.25,65.0,60.4772333333338,[22.56       41.86        0.25       65.         60.47723333],[-2.14152105 -0.75355962  0.          0.         -0.35195611],2
22.56,41.93,0.25,65.0,78.75125000000085,[22.56    41.93     0.25    65.      78.75125],[-2.14152105 -0.7353876   0.          0.         -0.35101583],2
22.56,41.99,0.25,65.0,18.926433333333527,[22.56       41.99        0.25       65.         18.92643333],[-2.14152105 -0.71981159  0.          0.         -0.35409409],2
22.56,42.04,0.25,65.0,64.82229999999942,[22.56   42.04    0.25   65.     64.8223],[-2.14152105 -0.70683157  0.          0.         -0.35173254],2
22.56,42.06,0.25,65.0,49.004999999999775,[22.56  42.06   0.25  65.    49.005],[-2.14152105 -0.70163957  0.          0.         -0.35254641],2
22.56,42.09,0.25,65.0,30.889800000001,[22.56   42.09    0.25   65.     30.8898],[-2.14152105 -0.69385156  0.          0.         -0.35347852],2
22.56,42.11,0.25,65.0,550.7880499999981,[2.2560000e+01 4.2110000e+01 2.5000000e-01 6.5000000e+01 5.5078805e+02],[-2.14152105 -0.68865955  0.          0.         -0.32672731],2
22.56,42.15,0.25,65.0,427.48879999999696,[2.256000e+01 4.215000e+01 2.500000e-01 6.500000e+01 4.274888e+02],[-2.14152105 -0.67827554  0.          0.         -0.33307164],2
22.57,41.86,0.25,65.0,16.131199999999716,[22.57   41.86    0.25   65.     16.1312],[-2.1198069  -0.75355962  0.          0.         -0.35423792],2
22.57,41.9,0.25,65.0,48.511250000000224,[22.57    41.9      0.25    65.      48.51125],[-2.1198069  -0.74317561  0.          0.         -0.35257182],2
22.57,41.92,0.25,65.0,0.5,[22.57 41.92  0.25 65.    0.5 ],[-2.1198069  -0.73798361  0.          0.         -0.35504222],2
22.57,41.96,0.25,65.0,93.57119999999776,[22.57   41.96    0.25   65.     93.5712],[-2.1198069  -0.7275996   0.          0.         -0.35025327],2
22.57,42.02,0.25,65.0,138.58389999999883,[ 22.57    42.02     0.25    65.     138.5839],[-2.1198069  -0.71202358  0.          0.         -0.34793715],2
22.57,42.1,0.25,65.0,52.73644999999981,[22.57    42.1      0.25    65.      52.73645],[-2.1198069  -0.69125555  0.          0.         -0.35235441],2
22.57,42.16,0.25,65.0,14.796799999998441,[22.57   42.16    0.25   65.     14.7968],[-2.1198069  -0.67567954  0.          0.         -0.35430658],2
22.57,42.2,0.25,65.0,125.61124999999856,[ 22.57     42.2       0.25     65.      125.61125],[-2.1198069  -0.66529553  0.          0.         -0.34860466],2
22.57,45.72,0.25,65.0,0.0,[22.57 45.72  0.25 65.    0.  ],[-2.1198069   0.24849749  0.          0.         -0.35506795],0
22.59,41.68,0.25,65.0,258.3264500000004,[2.2590000e+01 4.1680000e+01 2.5000000e-01 6.5000000e+01 2.5832645e+02],[-2.0763786  -0.80028768  0.          0.         -0.34177584],2
22.59,41.85,0.25,65.0,304.0577999999992,[2.259000e+01 4.185000e+01 2.500000e-01 6.500000e+01 3.040578e+02],[-2.0763786  -0.75615563  0.          0.         -0.33942274],2
22.59,41.91,0.25,65.0,1.4166999999997962,[22.59   41.91    0.25   65.      1.4167],[-2.0763786  -0.74057961  0.          0.         -0.35499505],2
22.59,41.92,0.25,65.0,0.2312000000001206,[22.59   41.92    0.25   65.      0.2312],[-2.0763786  -0.73798361  0.          0.         -0.35505605],2
22.59,41.93,0.25,65.0,1.729800000000237,[22.59   41.93    0.25   65.      1.7298],[-2.0763786  -0.7353876   0.          0.         -0.35497894],2
22.59,41.98,0.25,65.0,254.9583999999945,[2.259000e+01 4.198000e+01 2.500000e-01 6.500000e+01 2.549584e+02],[-2.0763786  -0.72240759  0.          0.         -0.34194914],2
22.59,41.99,0.25,65.0,58.96980000000015,[22.59   41.99    0.25   65.     58.9698],[-2.0763786  -0.71981159  0.          0.         -0.35203367],2
22.59,42.01,0.25,65.0,40.32020000000016,[22.59   42.01    0.25   65.     40.3202],[-2.0763786  -0.71461958  0.          0.         -0.35299328],2
22.59,42.02,0.25,65.0,37.921433333334456,[22.59       42.02        0.25       65.         37.92143333],[-2.0763786  -0.71202358  0.          0.         -0.35311671],2
22.59,42.05,0.25,65.0,7.3728000000005585,[22.59   42.05    0.25   65.      7.3728],[-2.0763786  -0.70423557  0.          0.         -0.35468858],2
22.59,42.06,0.25,65.0,44.46244999999953,[22.59    42.06     0.25    65.      44.46245],[-2.0763786  -0.70163957  0.          0.         -0.35278015],2
22.59,42.07,0.25,65.0,3.808799999999661,[22.59   42.07    0.25   65.      3.8088],[-2.0763786  -0.69904356  0.          0.         -0.35487197],2
22.59,42.09,0.25,65.0,227.7119000000008,[ 22.59    42.09     0.25    65.     227.7119],[-2.0763786  -0.69385156  0.          0.         -0.3433511 ],2
22.59,42.12,0.25,65.0,4.037666666666386,[22.59       42.12        0.25       65.          4.03766667],[-2.0763786  -0.68606355  0.          0.         -0.35486019],2
22.59,42.18,0.25,65.0,48.708449999998926,[22.59    42.18     0.25    65.      48.70845],[-2.0763786  -0.67048753  0.          0.         -0.35256167],2
22.59,42.19,0.25,65.0,2.691200000000116,[22.59   42.19    0.25   65.      2.6912],[-2.0763786  -0.66789153  0.          0.         -0.35492947],2
22.59,42.2,0.25,65.0,129.44405000000233,[ 22.59     42.2       0.25     65.      129.44405],[-2.0763786  -0.66529553  0.          0.         -0.34840744],2
22.59,42.22,0.25,65.0,18.30125000000041,[22.59    42.22     0.25    65.      18.30125],[-2.0763786  -0.66010352  0.          0.         -0.35412626],2
22.59,49.44,0.25,65.0,28689.705799999992,"[2.25900000e+01 4.94400000e+01 2.50000000e-01 6.50000000e+01
 2.86897058e+04]",[-2.0763786   1.21421056  0.          0.          1.12115243],0
22.59,49.46,0.25,65.0,8.585233333333392,[22.59       49.46        0.25       65.          8.58523333],[-2.0763786   1.21940257  0.          0.         -0.3546262 ],0
22.59,49.5,0.25,65.0,1.2960499999999304,[22.59    49.5      0.25    65.       1.29605],[-2.0763786   1.22978658  0.          0.         -0.35500126],0
22.59,49.55,0.25,65.0,30022.300800000034,"[2.25900000e+01 4.95500000e+01 2.50000000e-01 6.50000000e+01
 3.00223008e+04]",[-2.0763786   1.2427666   0.          0.          1.18972071],0
22.6,41.75,0.25,65.0,24642.0,[2.2600e+01 4.1750e+01 2.5000e-01 6.5000e+01 2.4642e+04],[-2.05466445 -0.78211566  0.          0.          0.91287892],2
22.6,41.78,0.25,65.0,15016.022033333327,[2.2600000e+01 4.1780000e+01 2.5000000e-01 6.5000000e+01 1.5016022e+04],[-2.05466445 -0.77432765  0.          0.          0.41757705],2
22.6,41.84,0.25,65.0,24657.54245000001,"[2.26000000e+01 4.18400000e+01 2.50000000e-01 6.50000000e+01
 2.46575425e+04]",[-2.05466445 -0.75875163  0.          0.          0.91367865],2
22.6,41.91,0.25,65.0,38.984449999999356,[22.6     41.91     0.25    65.      38.98445],[-2.05466445 -0.74057961  0.          0.         -0.35306201],2
