temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
21.0,24.24,0.0,63.07,12.954050000000452,[21.      24.24     0.      63.07    12.95405],[-0.94529996 -1.16097154 -0.04311306 -0.48025223  2.64089652],2
21.0,24.25,0.0,73.73,0.11520000000000873,[21.     24.25    0.     73.73    0.1152],[-0.94529996 -1.16028601 -0.04311306  1.12547169 -0.49484094],0
21.0,24.28,0.0,73.73,0.011249999999962483,[2.100e+01 2.428e+01 0.000e+00 7.373e+01 1.125e-02],[-0.94529996 -1.15822943 -0.04311306  1.12547169 -0.5202295 ],0
21.0,24.36,0.0,63.07,5.678450000000207,[21.      24.36     0.      63.07     5.67845],[-0.94529996 -1.1527452  -0.04311306 -0.48025223  0.86391716],0
21.0,24.67,0.0,62.12,5.6112499999998855,[21.      24.67     0.      62.12     5.61125],[-0.94529996 -1.13149381 -0.04311306 -0.62335145  0.84750436],0
21.0,24.72,0.0,63.07,3.9761999999998205,[21.     24.72    0.     63.07    3.9762],[-0.94529996 -1.12806616 -0.04311306 -0.48025223  0.44816271],0
21.0,24.8,0.0,63.07,7.880450000000108,[21.      24.8      0.      63.07     7.88045],[-0.94529996 -1.12258193 -0.04311306 -0.48025223  1.40172965],2
21.0,24.89,0.0,73.73,1.5842000000001537,[21.     24.89    0.     73.73    1.5842],[-0.94529996 -1.11641217 -0.04311306  1.12547169 -0.13605504],0
21.0,25.05,0.0,63.07,0.19844999999996132,[21.      25.05     0.      63.07     0.19845],[-0.94529996 -1.10544371 -0.04311306 -0.48025223 -0.47450811],0
21.0,25.15,0.0,62.12,0.8844499999999033,[21.      25.15     0.      62.12     0.88445],[-0.94529996 -1.09858843 -0.04311306 -0.62335145 -0.30696071],0
21.0,25.2,0.0,63.07,0.08820000000003056,[21.     25.2     0.     63.07    0.0882],[-0.94529996 -1.09516078 -0.04311306 -0.48025223 -0.50143537],0
21.0,25.49,0.0,62.12,0.03125,[2.100e+01 2.549e+01 0.000e+00 6.212e+01 3.125e-02],[-0.94529996 -1.07528045 -0.04311306 -0.62335145 -0.51534473],0
21.0,25.51,0.0,70.51,0.02880000000000218,[2.100e+01 2.551e+01 0.000e+00 7.051e+01 2.880e-02],[-0.94529996 -1.07390939 -0.04311306  0.64044064 -0.51594312],0
21.0,25.52,0.0,70.51,0.02880000000000218,[2.100e+01 2.552e+01 0.000e+00 7.051e+01 2.880e-02],[-0.94529996 -1.07322386 -0.04311306  0.64044064 -0.51594312],0
21.0,25.54,0.0,73.73,0.03456666666669676,"[2.10000000e+01 2.55400000e+01 0.00000000e+00 7.37300000e+01
 3.45666667e-02]",[-0.94529996 -1.07185281 -0.04311306  1.12547169 -0.51453468],0
21.0,25.55,0.0,70.51,0.016200000000001227,[2.100e+01 2.555e+01 0.000e+00 7.051e+01 1.620e-02],[-0.94529996 -1.07116728 -0.04311306  0.64044064 -0.51902052],0
21.0,25.55,0.0,73.73,0.1624444444443915,[21.         25.55        0.         73.73        0.16244444],[-0.94529996 -1.07116728 -0.04311306  1.12547169 -0.48330204],0
21.0,25.56,0.0,73.73,12.243121818181901,[21.         25.56        0.         73.73       12.24312182],[-0.94529996 -1.07048175 -0.04311306  1.12547169  2.46726071],2
21.0,25.57,0.0,70.51,0.014449999999983379,[2.100e+01 2.557e+01 0.000e+00 7.051e+01 1.445e-02],[-0.94529996 -1.06979622 -0.04311306  0.64044064 -0.51944794],0
21.0,25.57,0.0,73.73,13.304488888888823,[21.         25.57        0.         73.73       13.30448889],[-0.94529996 -1.06979622 -0.04311306  1.12547169  2.72648708],2
21.0,25.59,0.0,70.51,0.012800000000004003,[2.100e+01 2.559e+01 0.000e+00 7.051e+01 1.280e-02],[-0.94529996 -1.06842516 -0.04311306  0.64044064 -0.51985093],0
21.0,25.59,0.0,73.73,0.2070214285714058,[21.         25.59        0.         73.73        0.20702143],[-0.94529996 -1.06842516 -0.04311306  1.12547169 -0.47241464],0
21.0,25.67,0.0,73.73,0.8192000000001106,[21.     25.67    0.     73.73    0.8192],[-0.94529996 -1.06294093 -0.04311306  1.12547169 -0.32289725],0
21.0,25.72,0.0,73.73,2.7876333333332566,[21.         25.72        0.         73.73        2.78763333],[-0.94529996 -1.05951329 -0.04311306  1.12547169  0.15786934],0
21.0,25.74,0.0,63.07,10.913699999999793,[21.     25.74    0.     63.07   10.9137],[-0.94529996 -1.05814223 -0.04311306 -0.48025223  2.14256513],2
21.0,25.79,0.0,73.73,0.01445000000001237,[2.100e+01 2.579e+01 0.000e+00 7.373e+01 1.445e-02],[-0.94529996 -1.05471459 -0.04311306  1.12547169 -0.51944794],0
21.0,25.83,0.0,73.73,0.012799999999976717,[2.100e+01 2.583e+01 0.000e+00 7.373e+01 1.280e-02],[-0.94529996 -1.05197247 -0.04311306  1.12547169 -0.51985093],0
21.0,25.89,0.0,73.73,0.011249999999996589,[2.100e+01 2.589e+01 0.000e+00 7.373e+01 1.125e-02],[-0.94529996 -1.0478593  -0.04311306  1.12547169 -0.5202295 ],0
21.0,25.92,0.0,73.73,0.009800000000029922,[2.100e+01 2.592e+01 0.000e+00 7.373e+01 9.800e-03],[-0.94529996 -1.04580271 -0.04311306  1.12547169 -0.52058364],0
21.0,25.94,0.0,63.07,0.31205000000001615,[21.      25.94     0.      63.07     0.31205],[-0.94529996 -1.04443166 -0.04311306 -0.48025223 -0.44676265],0
21.0,26.12,0.0,62.12,2.2049999999999286,[21.    26.12   0.    62.12   2.205],[-0.94529996 -1.03209214 -0.04311306 -0.62335145  0.01556803],0
21.0,26.14,0.0,68.56,15.961250000000513,[21.      26.14     0.      68.56    15.96125],[-0.94529996 -1.03072108 -0.04311306  0.34671065  3.3753696 ],2
21.0,26.27,0.0,63.07,2.2260500000001486,[21.      26.27     0.      63.07     2.22605],[-0.94529996 -1.02180921 -0.04311306 -0.48025223  0.02070924],0
21.0,26.34,0.0,63.07,10.488199999999926,[21.     26.34    0.     63.07   10.4882],[-0.94529996 -1.01701051 -0.04311306 -0.48025223  2.03864179],2
21.0,26.47,0.0,63.07,1.1100500000000135,[21.      26.47     0.      63.07     1.11005],[-0.94529996 -1.00809863 -0.04311306 -0.48025223 -0.25186058],0
21.0,26.61,0.0,62.12,0.06479999999998445,[21.     26.61    0.     62.12    0.0648],[-0.94529996 -0.99850123 -0.04311306 -0.62335145 -0.50715054],0
21.0,26.67,0.0,62.12,0.19219999999996756,[21.     26.67    0.     62.12    0.1922],[-0.94529996 -0.99438806 -0.04311306 -0.62335145 -0.4760346 ],0
21.0,26.83,0.0,73.73,1.1995666666668228,[21.         26.83        0.         73.73        1.19956667],[-0.94529996 -0.9834196  -0.04311306  1.12547169 -0.22999719],0
