temperature,humidity,ventilation rate,volume,CO2_variance
21.0,26.67,0.0,62.12,0.19219999999996756
21.0,26.83,0.0,73.73,1.1995666666668228
21.0,26.85,0.0,63.07,1.2756699999999173
21.0,26.86,0.0,73.73,0.95219999999968
21.0,26.87,0.0,70.51,5.816817948718191
21.0,26.87,0.0,73.73,0.1624499999998989
21.0,26.88,0.0,73.73,0.10125000000007162
21.0,27.08,0.0,70.51,13.312800000000422
21.0,27.11,0.0,70.51,6.195199999999936
21.0,27.25,0.0,70.51,15.456800000000644
21.0,27.66,0.0,70.51,0.47045000000002646
21.0,27.71,0.0,70.51,13.26124999999959
21.0,27.74,0.0,62.12,2.668050000000268
21.0,27.75,0.0,70.51,4.285833333333548
21.0,27.83,0.0,73.73,13.39263333333415
21.0,27.86,0.0,70.51,0.8320499999999531
21.0,27.9,0.0,70.51,0.20480000000002765
21.0,27.99,0.0,73.73,14.612424999999407
21.0,28.01,0.0,73.73,0.387199999999996
21.0,28.06,0.0,73.73,0.020000000000031833
21.0,28.51,0.0,73.73,2.952450000000431
21.0,28.59,0.0,73.73,3.458450000000287
21.0,28.66,0.0,62.12,0.10182499999999257
21.0,28.67,0.0,62.12,0.15000000000002275
21.0,28.92,0.0,62.12,9.246633333333598
21.0,28.95,0.0,62.12,2.53125
21.0,28.99,0.0,62.12,11.534933333333166
21.0,29.4,0.0,62.12,0.23804999999999843
21.0,29.76,0.0,62.12,5.557899242424261
21.0,29.83,0.0,62.12,2.268449999999869
21.0,29.87,0.0,62.12,0.7200000000000546
21.0,29.9,0.0,62.12,0.07839999999999722
21.0,30.55,0.0,68.56,7.488450000000018
21.0,30.72,0.0,62.12,0.014123809523819955
21.0,31.52,0.0,62.12,9.717233333333198
21.0,31.8,0.0,62.12,0.1624500000000609
21.0,31.84,0.0,62.12,0.19845000000003293
21.0,31.94,0.0,58.72,0.06844999999998065
21.0,31.95,0.0,58.72,0.06845000000002271
21.0,31.96,0.0,58.72,0.08820000000003056
21.0,31.97,0.0,58.72,0.1680999999999739
21.0,32.07,0.0,63.07,1.2640499999999601
21.0,32.07,0.0,70.51,13.416200000000035
21.0,32.1,0.0,63.07,1.3122000000000995
21.0,32.22,0.0,58.72,1.2324499999999001
21.0,32.24,0.0,70.51,12.11043333333346
21.0,32.3,0.0,70.51,3.0258000000000895
21.0,32.33,0.0,70.51,2.8560500000001032
21.0,32.34,0.0,58.72,0.6962000000000751
21.0,32.37,0.0,70.51,9.72405000000011
21.0,32.39,0.0,70.51,2.599199999999938
21.0,32.43,0.0,70.51,0.4512500000000432
21.0,32.46,0.0,70.51,0.2520500000000258
